Название;Краткое описание;Полное описание;Цена;Валюта;Сертификат;Группа;URL на сайте;URL главного фото;Закупка USD;eBay URL;Комментарий к фото
Пеле — бутса с автографом;Автограф трёхкратного чемпиона мира;Пеле — единственный в истории трёхкратный чемпион мира (1958, 1962, 1970) и один из главных символов бразильского футбола XX века. Бутса Puma с его личным автографом представляет в коллекции музея память о легендарном форварде через предмет игровой экипировки, а не только через памятные мячи. Экспонат органично соседствует в экспозиции с другими именными бутсами великих футболистов разных эпох. Международная сертификация подлинности: Beckett.;500000;RUB;Beckett;БУТСЫ С АВТОГРАФАМИ;;https://i.ebayimg.com/images/g/tGUAAeSweAVokJq6/s-l1600.jpg;1264.54;https://www.ebay.com/itm/306431380278;"Бутса с двух сторон (подошва и верх), крупный план автографа; рядом — архивный кадр Пеле в игровой форме."
Роналдиньо и Роналдо Насариу — мини-мяч с двойным автографом;Два бразильских обладателя «Золотого мяча»;Роналдиньо и Роналдо Насариу — два бразильских форварда, каждый из которых в разные годы становился обладателем «Золотого мяча» и лучшим футболистом мира по версии ФИФА, а вместе со сборной Бразилии выигрывал чемпионат мира. Мини-мяч с автографами обоих игроков — редкий формат: подписи двух легенд бразильского футбола на одном предмете встречаются нечасто. Экспонат представляет в музейной коллекции целую эпоху бразильского футбола рубежа XX–XXI веков. Международная сертификация подлинности: Beckett COA.;500000;RUB;Beckett COA;МЯЧИ С АВТОГРАФАМИ;;https://i.ebayimg.com/images/g/wCQAAeSwtkxpocPw/s-l500.webp;1274.99;https://www.ebay.com/itm/389678547977;"Мини-мяч с двух сторон, крупный план обеих подписей рядом друг с другом; архивный кадр Роналдиньо и Роналдо в форме сборной Бразилии."
Карлос Вальдеррама — мяч с автографом;Автограф капитана сборной Колумбии;Карлос Вальдеррама — легендарный полузащитник и многолетний капитан сборной Колумбии, участник трёх чемпионатов мира (1990, 1994, 1998) и один из самых техничных плеймейкеров своего поколения, узнаваемый по фирменной пышной причёске. Мяч с его личным автографом нанесён на официальный мяч сборной Колумбии и представляет в коллекции музея колумбийскую школу футбола. Экспонат сопровождается независимой экспертизой подлинности подписи. Международная сертификация подлинности: Beckett.;250000;RUB;Beckett;МЯЧИ С АВТОГРАФАМИ;;https://i.ebayimg.com/images/g/wecAAeSwQERqOSb1/s-l500.webp;249.99;https://www.ebay.com/itm/168481708026;"Мяч с двух сторон, крупный план автографа; рядом — архивный кадр Вальдеррамы в форме сборной Колумбии на чемпионате мира."
Пеле, Месси, Роналду — мяч с тройным автографом;Три величайших имени мирового футбола на одном мяче;Пеле — трёхкратный чемпион мира и один из символов футбола XX века, Лионель Месси — многократный обладатель «Золотого мяча» и чемпион мира 2022 года, Криштиану Роналду — пятикратный обладатель «Золотого мяча» и один из самых титулованных футболистов в истории клубного футбола: три подписи на одном мяче объединяют разные эпохи и континенты футбольной истории. Подобное сочетание автографов встречается крайне редко и выходит за рамки стандартных партий памятных предметов. Мяч является флагманским экспонатом коллекции музея. Международная сертификация подлинности: Beckett LOA.;4500000;RUB;Beckett LOA;МЯЧИ С АВТОГРАФАМИ;;https://i.ebayimg.com/images/g/bPEAAOSwcpBjp6fv/s-l500.webp;19998.98;https://www.ebay.com/itm/278025417914;"Мяч с двух сторон, крупный план каждой из трёх подписей по отдельности; рядом — архивные кадры Пеле, Месси и Роналду в форме своих сборных."
Ривалдо — мяч с автографом;Автограф чемпиона мира 2002 года;Ривалдо Витор Боржес Феррейра — один из ключевых нападающих сборной Бразилии рубежа веков, обладатель «Золотого мяча» 1999 года и чемпион мира 2002 года, выступавший также за «Барселону» и «Милан». Мяч с его автографом отмечен символикой ФК «Барселона» и сборной Бразилии, отражая ключевые страницы карьеры игрока. Экспонат пополняет коллекцию автографов бразильских звёзд в собрании музея. Международная сертификация подлинности: Beckett COA.;240000;RUB;Beckett COA;МЯЧИ С АВТОГРАФАМИ;;https://i.ebayimg.com/images/g/PGUAAOSwGt1mMEWh/s-l500.webp;299.99;https://www.ebay.com/itm/135039219344;"Мяч с двух сторон, крупный план автографа; рядом — архивный кадр Ривалдо в форме сборной Бразилии на ЧМ-2002."
Карим Бензема — мяч с автографом;Автограф обладателя «Золотого мяча» 2022 года;Карим Бензема — многолетний форвард «Реал Мадрида», обладатель рекордного числа титулов Лиги чемпионов в составе клуба и лауреат «Золотого мяча» 2022 года, признанный лучшим футболистом планеты. Мяч с его личным автографом выполнен на официальном мяче с символикой «Реал Мадрида». Экспонат отражает одну из самых успешных индивидуальных карьер европейского футбола последнего десятилетия. Международная сертификация подлинности: Beckett BAS Witnessed.;240000;RUB;Beckett BAS Witnessed;МЯЧИ С АВТОГРАФАМИ;;https://i.ebayimg.com/images/g/Li8AAeSwekRpkm8Y/s-l500.webp;398.89;https://www.ebay.com/itm/234570511831;"Мяч с двух сторон, крупный план автографа и логотипа «Реал Мадрида»; рядом — архивный кадр Бензема с трофеем Лиги чемпионов или «Золотым мячом»."
Бебето — мяч с автографом;Автограф чемпиона мира 1994 года;"Бебето — нападающий сборной Бразилии, в паре с Ромарио составивший результативный тандем, приведший команду к победе на чемпионате мира 1994 года; забитый им гол в матче группового этапа запомнился знаменитым празднованием «колыбель», посвящённым рождению сына. Мяч с его личным автографом представляет в коллекции музея бразильское поколение чемпионов 1990-х годов. Международная сертификация подлинности: Beckett COA.";180000;RUB;Beckett COA;МЯЧИ С АВТОГРАФАМИ;;https://i.ebayimg.com/images/g/8qcAAeSwNIpqCz-F/s-l500.webp;299;https://www.ebay.com/itm/188396591422;"Мяч с двух сторон, крупный план автографа; рядом — архивный кадр Бебето со знаменитым празднованием «колыбель» на ЧМ-1994."
Педри — мяч Adidas чемпионата мира 2026 года с автографом (сборная Испании);Мяч чемпионата мира 2026 с подписью Педри;Педри — полузащитник «Барселоны» и сборной Испании, обладатель Golden Boy 2021 года, лучший молодой игрок чемпионата Европы 2020 года и чемпион Европы 2024 года. Его сравнивают с Андресом Иньестой не из вежливости: та же школа, та же роль между линиями, та же манера решать эпизод одним касанием, — и в этом смысле он прямой наследник великой «Барселоны» предыдущего десятилетия. Мяч официальной модели Adidas чемпионата мира 2026 года привязывает предмет к текущему турнирному циклу и делает его датированным, а не отвлечённым. В подборке он образует связку с Ямалем и Гави — тремя именами, на которых строится следующая эпоха испанского футбола. Международная сертификация подлинности: Beckett (именной).;210000;RUB;Beckett — именной;НОВОЕ ПОКОЛЕНИЕ;;https://i.ebayimg.com/images/g/edwAAeSwf55qNwqZ/s-l1600.jpg;298.79;https://www.ebay.com/itm/236888825008;Мяч на подставке: фронтальный кадр с подписью по центру, ракурс в три четверти и макро автографа. Отдельно — кадр, где видна графика мяча чемпионата мира 2026 года. Рядом на слайде — архивный кадр Педри в форме сборной Испании. Три мяча раздела (Педри, Гави) и фото Ямаля стоит показать одним общим кадром группы.
Гави — мяч Adidas сборной Испании с автографом;Мяч сборной Испании с подписью Гави;Гави — воспитанник Ла Масии и полузащитник сборной Испании, обладатель Golden Boy 2022 года и самый молодой автор гола в истории испанской национальной команды. Его манера игры — давление, отбор, немедленное продвижение мяча вперёд — задаёт характер той команде, где Педри отвечает за рисунок, а Ямаль за завершение. Вместе они составляют треугольник, вокруг которого строится и «Барселона», и сборная нового цикла, и собирать этот раздел логично целиком, а не по одному имени. Мяч в оформлении сборной Испании даёт разделу цветовое единство с позициями Педри и Ямаля. Международная сертификация подлинности: Beckett (именной).;190000;RUB;Beckett — именной;НОВОЕ ПОКОЛЕНИЕ;;https://i.ebayimg.com/images/g/nXcAAeSwRkZqOI64/s-l1600.jpg;298.79;https://www.ebay.com/itm/236890819630;Мяч фронтально с подписью по центру, дополнительный ракурс в три четверти, макро автографа. Обязательно — общий кадр раздела: мяч Гави и мяч Педри рядом, в едином свете и на одном фоне. Рядом на слайде — архивный кадр Гави в форме сборной Испании, эпизод в отборе или в подкате.
Ламин Ямаль — фотография в форме сборной Испании с автографом;Фотография сборной Испании 8x10 с подписью;Ламин Ямаль — самое обсуждаемое имя нового поколения: в семнадцать лет он стал чемпионом Европы 2024 года в составе сборной Испании, самым молодым игроком и самым молодым автором гола в истории турнира, и получил Golden Boy как лучший молодой футболист. Его путь идёт по той же линии, что и у Месси: воспитанник Ла Масии, десятый номер «Барселоны», левый вингер, смещающийся под правую ногу, — преемственность здесь не метафора, а буквальная. Фотография формата 8x10 — классический американский коллекционный формат, где подпись ложится прямо на изображение игрока и работает как готовый экспозиционный объект. Это спокойная точка входа в раздел молодого поколения — до того, как рынок по этому имени переоценится. Международная сертификация подлинности: Beckett/BAS (именной).;220000;RUB;Beckett/BAS — именной;НОВОЕ ПОКОЛЕНИЕ;;https://i.ebayimg.com/images/g/4vcAAOSwjB5nECAm/s-l1600.jpg;299.99;https://www.ebay.com/itm/176632970750;Снять фотографию в паспарту или готовой раме под нейтральным светом, без бликов на глянце — это ключевая техническая задача кадра. Отдельно — макро автографа поверх изображения. Рядом на слайде — архивный кадр Ямаля на Евро-2024, и в идеале архивное фото молодого Месси в «Барселоне» для визуальной рифмы поколений.
Джуд Беллингем — фотография с автографом;Фотография 8x10 с подписью Беллингема;"Джуд Беллингем — полузащитник «Реала» и сборной Англии, обладатель Golden Boy 2023 года; в первом же сезоне в Мадриде он выиграл чемпионат Испании и Лигу чемпионов 2024 года, став одним из самых результативных полузащитников турнира. Он представляет ту же смену поколений, что Ямаль и Педри, но с другой стороны — английскую школу и мадридскую традицию, и потому в разделе молодых работает как противовес испанскому блоку. Фотография формата 8x10 с подписью — компактный экспозиционный формат, который хорошо встаёт рядом с крупными предметами и не спорит с ними за внимание. В связке с уже имеющейся в собрании футболкой игрока позиция превращает одиночное имя в небольшой самостоятельный сюжет. Международная сертификация подлинности: PSA (именной).";170000;RUB;PSA — именной;НОВОЕ ПОКОЛЕНИЕ;;https://i.ebayimg.com/images/g/vR4AAeSwANdp-p0V/s-l1600.jpg;248.3;https://www.ebay.com/itm/227331676523;Снимать в раме под рассеянным светом, полностью исключив блики на глянцевой печати. Отдельный макро-кадр автографа. На слайде показать фотографию рядом с уже приобретённой футболкой Беллингема — как единую композицию. Рядом — архивный кадр Беллингема в форме «Реала», празднование гола.
